timestep	atom	Ei_x	Ei_y	Ei_z	E_out
51	N2	-0.00028335525853705835	-0.0016111076451952669	0.03118058330210226	0.018726217667131596
51	N3	-0.036035258718156674	0.011155570539330925	0.000512564506431579	
51	N4	-0.00721726069143111	0.02332622578886834	0.048701883524757426	
52	N2	0.0011609201354832214	-0.004265909020748546	0.027927467680344098	0.016887556186787302
52	N3	-0.03363597789206206	0.011044295759548696	-8.69170281959814e-05	
52	N4	-0.005548130243715869	0.02847184802720072	0.04851849569081433	
53	N2	0.008468983266496076	-0.0018922544506237357	0.027732514834771942	0.012194326265363023
53	N3	-0.03350627989265654	0.01462664306989861	-0.008090516821986561	
53	N4	-0.0028232771076138045	0.02764932593876914	0.05001508996185365	
54	N2	0.002224732282799041	-0.002272858049082612	0.02336220968329682	0.013578743273820092
54	N3	-0.034002015466595696	0.019398223478472976	-0.012708686249960506	
54	N4	-0.0128250031490921	0.02604325713148966	0.04944814301965439	
55	N2	-0.0018109472192740055	-0.009569497552998261	0.021658822331300058	0.015428480504745297
55	N3	-0.03784470727787277	0.01725396047245661	-0.012306916250118743	
55	N4	-0.017199692227642827	0.017557493302038176	0.05366449804651442	
56	N2	-0.0011906761632826046	-0.014954532354979254	0.01694106816432491	0.012344558878255352
56	N3	-0.029669322211576258	0.015622132736035247	-0.01782901578048795	
56	N4	-0.012522341096001076	0.01235269456436781	0.04958454843874267	
57	N2	-0.00031361548410161464	-0.022303599757630646	0.015210988515003921	0.011605792494069102
57	N3	-0.02812148968447908	0.010895799814597878	-0.017457488954833483	
57	N4	-0.015482291471525307	0.007056413214184539	0.0401065272480317	
58	N2	0.0020833932334888105	-0.02687575318740369	0.012900423265518287	0.008160190513182642
58	N3	-0.030079121800205052	0.005032578699403917	-0.013370950546466856	
58	N4	-0.01758564035996736	0.0054993996289911	0.037973414621679136	
59	N2	0.007445203496410642	-0.02399719418129212	0.01851806040725149	0.007356425679364558
59	N3	-0.026829595271639032	0.00428569240394838	-0.012226866834469297	
59	N4	-0.012607663113884799	-0.00016457573427745538	0.041290886990078345	
60	N2	0.0063562073433867175	-0.03040713230742669	0.01637218310681209	0.005934303182327711
60	N3	-0.02367506020135398	0.0030558506909541118	-0.00889502690152786	
60	N4	-0.008908003054444856	-0.008231291634777394	0.04244891297494468	
61	N2	-0.000287365660580845	-0.027962408259003334	0.013098217714624213	0.00793625585528809
61	N3	-0.024404009306837875	0.005392878610012992	-0.008244095146816363	
61	N4	-0.008198213577286905	-0.00943540099346989	0.038070547276157475	
62	N2	-0.0010815504067147386	-0.028859025480348976	0.006317810985852336	0.0045699342717887385
62	N3	-0.022975173853147606	0.008303482820810792	-0.013869220536603204	
62	N4	-0.007778591664687785	-0.006023801420905624	0.027458226779837086	
63	N2	0.0007565110067284388	-0.025009590275524643	0.006961018481908346	0.003320626225999348
63	N3	-0.023778694031794476	0.004332795861016007	-0.020784482939277742	
63	N4	-0.008220363532746494	-0.0038519676459052763	0.017005142249278956	
64	N2	-0.002678937481161588	-0.02317882270066469	0.008964712018796624	0.0066747396505051895
64	N3	-0.029420956314623777	-0.0020901471910666517	-0.030656882900195	
64	N4	-0.01231182801564726	-0.004025007724717469	0.007579797321600291	
65	N2	-0.003926932870351459	-0.02763051845672228	0.01035858439745749	0.006567147440634169
65	N3	-0.03448028876521572	-0.008344255963781619	-0.033316370176282424	
65	N4	-0.01681029326618271	-0.008312848011534247	0.004613322424617768	
66	N2	-0.009474252798292728	-0.03488222376102736	0.010947389549105938	0.008974105020299192
66	N3	-0.03358814387604365	-0.014887652881476542	-0.028534106276053135	
66	N4	-0.023791484327568505	-0.012213426048103295	0.001829693955121817	
67	N2	-0.013192533412761382	-0.04353851836216861	0.00764929817742222	0.006481037796002608
67	N3	-0.03520367636293497	-0.022752007718693953	-0.02718048409221267	
67	N4	-0.026211098478444064	-0.022132393267576843	0.0007404436333338109	
68	N2	-0.018450810301585425	-0.04546018559708044	0.0019824375208314267	0.005004952730049625
68	N3	-0.038095702390675924	-0.02760816131093836	-0.03337422750896725	
68	N4	-0.030636239988501318	-0.033508031861852736	-0.0008405356388891781	
69	N2	-0.0163100878084356	-0.04651585258756575	-0.0012724868607565502	0.0015860590953495988
69	N3	-0.03549117589478641	-0.026923949939013796	-0.03315078221304051	
69	N4	-0.029793259997130714	-0.03868779291916225	-0.010205983194108812	
70	N2	-0.01695498541214766	-0.05072342307372908	-0.0075664495424405	-0.003832149109446261
70	N3	-0.03723055224965681	-0.03287656099019584	-0.03408691177602044	
70	N4	-0.02660054619448713	-0.04047665559866993	-0.017986371171253648	
71	N2	-0.01824212106232038	-0.050328181078183966	-0.0059184838191984794	-0.002215463355558842
71	N3	-0.038922207319105256	-0.03706259667026172	-0.034266313672397915	
71	N4	-0.02067088567820942	-0.03809012684881666	-0.012766877729279575	
72	N2	-0.014996165530370009	-0.04459639856648737	-0.0027892138924722025	-0.0020658854307474828
72	N3	-0.04034163521091783	-0.03962379718445894	-0.03191951440147759	
72	N4	-0.017476254627346855	-0.03556145946998949	-0.007409441198153034	
73	N2	-0.014154973279392575	-0.0444444933270026	0.002583383651788248	0.0017321506911877112
73	N3	-0.039560777332347696	-0.03978494788635909	-0.02963361216638253	
73	N4	-0.014225545765180325	-0.03353348488757754	0.0013125251179116166	
74	N2	-0.009920797128499408	-0.04446567589740695	0.00532006836358485	0.0006816822318338241
74	N3	-0.036379341881879246	-0.03621779475418403	-0.026457736200600886	
74	N4	-0.01056011749958864	-0.028953543689624776	0.012352199338631778	
75	N2	-0.004462227419523477	-0.04840441642411536	0.011872842322431746	0.006433953140147621
75	N3	-0.029747079122604866	-0.02859628432568484	-0.023301556704845114	
75	N4	-0.005843338948974584	-0.02232356789992503	0.010031787254068898	
76	N2	-0.0035478742951619226	-0.04408766769265423	0.013284796041717808	0.005044604838731762
76	N3	-0.026788010027870755	-0.025763403857519303	-0.0230792851207756	
76	N4	-0.007099028424630214	-0.021240469216287014	0.00878085566494622	
77	N2	-0.0012898458574713335	-0.04021996425128561	0.011782692093906103	0.003545659143673042
77	N3	-0.02665411332400121	-0.022318672912249746	-0.025039239793129147	
77	N4	-0.008734090991519033	-0.01862124805472451	0.008621452814685111	
78	N2	-0.0003849422776429439	-0.039780736984967875	0.014773198022196463	0.006570692623120519
78	N3	-0.02611621462195157	-0.023932823225881476	-0.026268467769218505	
78	N4	-0.008530536695812605	-0.017765597571893436	0.0026317953670099378	
79	N2	0.001110718625714515	-0.045569581688624676	0.01528203139413932	0.007408567578643818
79	N3	-0.029713999616289885	-0.023940156427393933	-0.024912707881038814	
79	N4	-0.009963231441835045	-0.019274168598736405	0.007951351219829851	
80	N2	0.005624062542943989	-0.04240048869963906	0.01576385457608588	0.004462734223606261
80	N3	-0.02770906389083555	-0.024431688574855368	-0.030084271717134563	
80	N4	-0.007459832860398188	-0.02105822922814765	0.013853489922551693	
81	N2	0.008770564712091729	-0.035044009379010185	0.016600963227786408	0.0014704862819245193
81	N3	-0.027127116594615926	-0.02103534237491893	-0.03190864571061581	
81	N4	-0.010644937382441355	-0.026174720557914324	0.017382365346884684	
82	N2	0.010853857288906447	-0.038294084166904184	0.015379389765418184	-0.0003833719839343953
82	N3	-0.025758739365363513	-0.016673275613548373	-0.03530309577036285	
82	N4	-0.008296253218685197	-0.030914260907815436	0.020014592403863888	
83	N2	0.009382302568206654	-0.03988902836283255	0.009359139812723512	-0.003411143050400792
83	N3	-0.027182562329767106	-0.01330347570602306	-0.04092836202924887	
83	N4	-0.0038195683404882858	-0.03318730537727501	0.025356165834878364	
84	N2	0.0074374587636645215	-0.04275388259046507	0.002992827512463063	-0.00415141483795384
84	N3	-0.028192884085011864	-0.013426067284979042	-0.04567016810542249	
84	N4	-0.003183788851864737	-0.033352226086814	0.020735192166968328	
85	N2	0.006321968332700857	-0.04507050477972639	0.008650873698744826	0.002706262298740619
85	N3	-0.026064949926075567	-0.016371581154033307	-0.045203120701767206	
85	N4	-0.0037678100998469522	-0.030199766425819046	0.012644664800128295	
86	N2	0.012829899678062265	-0.04472014828153748	0.011544813725513452	0.0007270166431049715
86	N3	-0.02107715864408857	-0.019219823206050618	-0.04285060609600141	
86	N4	-0.0009565792461275668	-0.026505035106227124	0.007297798267339243	
87	N2	0.01218334194245887	-0.05264287358572708	0.01923064579991771	0.011001518700673667
87	N3	-0.020520658380184843	-0.020364776156233017	-0.04066172283766893	
87	N4	0.0011397646615533862	-0.030673845225581406	0.005932489936848778	
88	N2	0.013790458130175293	-0.043433603686723006	0.016791224725481148	0.0025170110843258198
88	N3	-0.022784076361961288	-0.022826506394914084	-0.03721520447913685	
88	N4	0.006184289512375432	-0.03453069522051058	0.011396825518824783	
89	N2	0.015443448148078388	-0.0443270355038856	0.02002560983674437	0.004734065483621392
89	N3	-0.023930503803274987	-0.021750911359292236	-0.03248018866507719	
89	N4	0.00697148696581216	-0.03325198691330976	0.016751785089254595	
90	N2	0.013587736149652958	-0.03883274442517456	0.012657335098490687	-0.00377117924055679
90	N3	-0.024545462937121947	-0.02104779213810331	-0.03664800454821137	
90	N4	0.0009692541948528399	-0.03334410289790314	0.011216433728998325	
91	N2	0.013501539270314106	-0.04223141826289381	0.013297782667721563	-0.000538073731879083
91	N3	-0.02564768354116183	-0.018781779443438444	-0.035653976123926734	
91	N4	-0.002961487267114556	-0.0313149231402252	0.012989413800688642	
92	N2	0.007843144623625184	-0.05144729028043672	0.008915363597981198	-0.0014310711655915404
92	N3	-0.029673598592083374	-0.023410275277080495	-0.0375280187449629	
92	N4	-0.007685190959304081	-0.03729253803008676	0.01570014425301064	
93	N2	0.01091451488465537	-0.05244791153597578	0.018640460782803125	0.005613461633128531
93	N3	-0.03283231715317643	-0.027064960084824542	-0.03330015210269052	
93	N4	-0.00850780885921207	-0.0352107577301288	0.015370853290538165	
94	N2	0.01166055242643082	-0.05280722881243931	0.022819298654865032	0.00807359134398445
94	N3	-0.03678023505176544	-0.031243303959091074	-0.028451837093347573	
94	N4	-0.00701635560208409	-0.0358800499078417	0.014908384273723185	
95	N2	0.0123061412808812	-0.046246480214744146	0.024049891213990735	0.008764113591818227
95	N3	-0.035248949324862035	-0.030977027685991376	-0.025689331073487937	
95	N4	-0.0015156197631283849	-0.03340757296533915	0.01186094973709792	
96	N2	0.010531615539887044	-0.04772260703409402	0.022450650703774316	0.009666269567761007
96	N3	-0.030621018735055343	-0.029288993002999673	-0.020845779919100617	
96	N4	-0.0006779584499248308	-0.031977440348297116	0.01225457099992324	
97	N2	0.004263928211707666	-0.049121396747962245	0.009655720552526767	0.005770102330296816
97	N3	-0.02593148381432315	-0.027568745858390982	-0.025216655860847093	
97	N4	-0.0007072910921554309	-0.028538385383136678	0.01639560550232909	
98	N2	-0.0018545912645391075	-0.05140145451748032	0.00395510580081762	0.0069470184599759385
98	N3	-0.02549798902670013	-0.028840919097894865	-0.024249840939775332	
98	N4	-0.00640669480707879	-0.026385278438655648	0.017767480218695383	
99	N2	-0.0002499175533711053	-0.05663239914038255	0.005583023177884083	0.008330033359704246
99	N3	-0.022341985377733197	-0.0318625776556439	-0.023003489023970362	
99	N4	-0.008326735001992581	-0.02830044931820658	0.012274537228429925	
100	N2	0.004905208046787596	-0.05284321519709521	0.007632316707126464	0.003847216690545577
100	N3	-0.014914078338492726	-0.0385914864337803	-0.021649093005910513	
100	N4	-0.0029242780540969997	-0.030445472871949302	0.009636990532276879	
101	N2	0.008922062887665115	-0.05437326920350463	0.01065520018174479	0.00466236506222956
101	N3	-0.009226381133427547	-0.04372961583939886	-0.021899263264918405	
101	N4	-0.0015287905999572479	-0.031536434830122334	0.00938613245391586	
102	N2	0.006668880997969143	-0.053865987485172157	0.003943483650845711	0.0008012051758976334
102	N3	-0.009806744773323278	-0.04238096853899173	-0.019265304940178384	
102	N4	-0.003503693631716766	-0.03057141076051297	0.014393227232671016	
103	N2	0.00715073793076342	-0.053292822456879406	0.003070709569334182	0.001863412709003939
103	N3	-0.007162643633385883	-0.03449962403994045	-0.022519578893731806	
103	N4	-0.00624604663015816	-0.027577911360425714	0.015418828340956686	
104	N2	0.006500297441846974	-0.054373570492708384	0.004870435884224941	0.0018727862351788018
104	N3	-0.006678065954933878	-0.03277078514579603	-0.01981833705636765	
104	N4	-0.007415997184642062	-0.026572970861686168	0.017832517873067517	
105	N2	0.007340793757031447	-0.05529065335592034	0.013401625389986805	0.008438108147062334
105	N3	-0.011689264882697012	-0.02891622384482356	-0.022776930075593036	
105	N4	-0.010918622440832521	-0.019913548701380505	0.018800404936970015	
106	N2	0.010066877279905092	-0.05071170018544502	0.013699078291385634	0.00634219526680463
106	N3	-0.017099685407042466	-0.029049561534966035	-0.02534976536062062	
106	N4	-0.011324002457088856	-0.014549628512617532	0.008860783072500007	
107	N2	0.0114278189722871	-0.045639517202317674	0.019691025103398315	0.008314217033612455
107	N3	-0.020882420502898385	-0.031227007269633195	-0.023380516260994674	
107	N4	-0.011491271143684902	-0.014741219999844991	0.006927436794922168	
108	N2	0.011276832998106367	-0.038818313291747855	0.025109008527691875	0.011236020088331126
108	N3	-0.023455965130228143	-0.028676747335751138	-0.020466679966467737	
108	N4	-0.013208184946135995	-0.010538782014905426	0.013343405140948497	
109	N2	0.012101560815893631	-0.043280001447121595	0.02693822660196699	0.011116919951522992
109	N3	-0.025318734431304273	-0.025558021824815733	-0.022820622467798292	
109	N4	-0.018142432604409325	-0.013291229455023482	0.012354789869447323	
110	N2	0.011367196719789568	-0.0469139284069127	0.024526629265641586	0.009260439530652462
110	N3	-0.028547677220130126	-0.023115093876092407	-0.024486305038411486	
110	N4	-0.02245736238671419	-0.016780941093959393	0.017477266516137794	
111	N2	0.009010333747594575	-0.05431513303536763	0.024045059837441467	0.009764457910010264
111	N3	-0.03077473768438613	-0.03010910299691017	-0.024401184613304032	
111	N4	-0.025824497049256812	-0.021366991643848657	0.0205318449733867	
112	N2	0.00531547557936616	-0.042616109350181564	0.022745200350143286	0.009054798309336785
112	N3	-0.030118512928313874	-0.029351958153658014	-0.019579041557116525	
112	N4	-0.029035816442346936	-0.015194197726175328	0.017998769088570697	
113	N2	0.002689169875050114	-0.04128785077202349	0.026060022579411223	0.012164686963437355
113	N3	-0.03198924073016328	-0.03516936717596926	-0.025506160906554214	
113	N4	-0.030632274986053882	-0.01607311141132802	0.015215443786479798	
114	N2	-0.00048329301281203115	-0.04445130093082085	0.023790817393551936	0.011190780874662267
114	N3	-0.03231044691459694	-0.03881597998803362	-0.02787818178983667	
114	N4	-0.0324430723625377	-0.01516493888826976	0.016527660849798058	
115	N2	0.001687397052147123	-0.050790733519147716	0.03176018590165156	0.01722737963347798
115	N3	-0.030862814169027277	-0.04042595132363518	-0.02699399499657174	
115	N4	-0.028901092620977394	-0.020902601240328618	0.015230595137329451	
116	N2	0.00837535659784054	-0.042381701349313364	0.03053916261972165	0.013034043076564208
116	N3	-0.02961061134747299	-0.03910628319930692	-0.02670005626191159	
116	N4	-0.0253214124484279	-0.0231390594007878	0.011123415152331615	
117	N2	0.011325286247036825	-0.038863199437503	0.035048735939965284	0.01682667322772265
117	N3	-0.02679639627100703	-0.04044323943380797	-0.022361415290754846	
117	N4	-0.020798892749760267	-0.022451090215625556	0.016448438114624795	
118	N2	0.015683120244769495	-0.03535571730764648	0.0347359211753006	0.015066133150620213
118	N3	-0.02152749076452564	-0.04084247721099861	-0.02349752357132088	
118	N4	-0.018216795594396488	-0.02717993258064608	0.017299267884740076	
119	N2	0.013384318255527229	-0.03728676226852308	0.03063273465181058	0.015148707771870948
119	N3	-0.020159618521795097	-0.03912438970090901	-0.03067074327084665	
119	N4	-0.019915896630197015	-0.030428644087172753	0.019289533021683094	
120	N2	0.012060697604867911	-0.039563494150226995	0.022917629413138376	0.009033591175190503
120	N3	-0.02156938284309197	-0.03688707023724355	-0.031429399914379395	
120	N4	-0.019835862669635315	-0.03284205142357652	0.02393528427895511	
121	N2	0.013837887561882695	-0.04491448980124091	0.016801762554293602	0.00245332321148188
121	N3	-0.021735773738901037	-0.039326542403836165	-0.03337949168030616	
121	N4	-0.014571746256747349	-0.037112526580968336	0.025563534373519957	
122	N2	0.015049790736794157	-0.041993942435876334	0.010361496490954504	-0.004367218792080077
122	N3	-0.021683074464562017	-0.04110219004950753	-0.03746611758130218	
